dd,Month,Product Category,Sales,Location
0,2022-01-01,Cigarettes,269,fail_road
1,2022-01-01,Other Tobacco,129,fail_road
2,2022-01-01,Beer,209,fail_road
3,2022-01-01,Wine,369,fail_road
4,2022-01-01,Packaged Beverages-nonalcoh,256,fail_road
5,2022-01-01,Candy,395,fail_road
6,2022-01-01,Fluid Milk Products,388,fail_road
7,2022-01-01,Other Dairy Deli,244,fail_road
8,2022-01-01,Pkg Sand Other Products,486,fail_road
9,2022-01-01,Packaged Ice Cream Novelty,337,fail_road
10,2022-01-01,Frozen Foods,196,fail_road
11,2022-01-01,Packaged Bread Comm Bakery,220,fail_road
12,2022-01-01,Salty Snacks,137,fail_road
13,2022-01-01,Packaged Sweet Snacks,270,fail_road
14,2022-01-01,Alternative Snacks,465,fail_road
15,2022-01-01,Fresh Foods - Perish Groc,54,fail_road
16,2022-01-01,Edible Grocery,249,fail_road
17,2022-01-01,Non-edible Grocery,155,fail_road
18,2022-01-01,Health And Beauty Care,380,fail_road
19,2022-01-01,General Merchandise,475,fail_road
20,2022-01-01,Publications,88,fail_road
21,2022-01-01,Automotive Products,177,fail_road
22,2022-01-01,Store Services Fee Income,446,fail_road
23,2022-01-01,Store Services Fee Inc Tax,416,fail_road
24,2022-01-01,Ice Bags,90,fail_road
25,2022-01-01,Hot Dispensed Beverages,306,fail_road
26,2022-01-01,Cold Dispensed Beverages,284,fail_road
27,2022-01-01,Frozen Dispensed Beverages,202,fail_road
28,2022-01-01,Car Wash Sls,196,fail_road
29,2022-01-01,Car Wash Vending Sales,81,fail_road
30,2022-01-01,Chilled Bev Fee,60,fail_road
31,2022-01-01,Coupons,144,fail_road
32,2022-01-01,Cravins To Order,482,fail_road
33,2022-01-01,CTO Ing Shelf Stable,340,fail_road
34,2022-01-01,Fe Gift Cards Radiant,159,fail_road
35,2022-01-01,Floral,269,fail_road
36,2022-01-01,Fresh Bakery,282,fail_road
37,2022-01-01,Gen Merch Scan Data Sales,354,fail_road
38,2022-01-01,JW European Cafe,451,fail_road
39,2022-01-01,Lottery Instant Tickets,266,fail_road
40,2022-01-01,Lottery ITVM Instant Tickets,469,fail_road
41,2022-01-01,Lottery Online Sales,112,fail_road
42,2022-01-01,Manual Fuel Radiant,201,fail_road
43,2022-01-01,Money Orders Radiant,81,fail_road
44,2022-01-01,Money Transfers,141,fail_road
45,2022-01-01,No Scan Merch Radiant,491,fail_road
46,2022-01-01,Novelty,70,fail_road
47,2022-01-01,Phone Card Fee,152,fail_road
48,2022-01-01,Supplies-retail,182,fail_road
49,2022-02-01,Cigarettes,151,fail_road
50,2022-02-01,Other Tobacco,165,fail_road
51,2022-02-01,Beer,146,fail_road
52,2022-02-01,Wine,132,fail_road
53,2022-02-01,Packaged Beverages-nonalcoh,314,fail_road
54,2022-02-01,Candy,199,fail_road
55,2022-02-01,Fluid Milk Products,156,fail_road
56,2022-02-01,Other Dairy Deli,440,fail_road
57,2022-02-01,Pkg Sand Other Products,132,fail_road
58,2022-02-01,Packaged Ice Cream Novelty,123,fail_road
59,2022-02-01,Frozen Foods,483,fail_road
60,2022-02-01,Packaged Bread Comm Bakery,125,fail_road
61,2022-02-01,Salty Snacks,110,fail_road
62,2022-02-01,Packaged Sweet Snacks,302,fail_road
63,2022-02-01,Alternative Snacks,487,fail_road
64,2022-02-01,Fresh Foods - Perish Groc,413,fail_road
65,2022-02-01,Edible Grocery,51,fail_road
66,2022-02-01,Non-edible Grocery,336,fail_road
67,2022-02-01,Health And Beauty Care,66,fail_road
68,2022-02-01,General Merchandise,191,fail_road
69,2022-02-01,Publications,220,fail_road
70,2022-02-01,Automotive Products,313,fail_road
71,2022-02-01,Store Services Fee Income,107,fail_road
72,2022-02-01,Store Services Fee Inc Tax,294,fail_road
73,2022-02-01,Ice Bags,306,fail_road
74,2022-02-01,Hot Dispensed Beverages,183,fail_road
75,2022-02-01,Cold Dispensed Beverages,405,fail_road
76,2022-02-01,Frozen Dispensed Beverages,66,fail_road
77,2022-02-01,Car Wash Sls,482,fail_road
78,2022-02-01,Car Wash Vending Sales,284,fail_road
79,2022-02-01,Chilled Bev Fee,129,fail_road
80,2022-02-01,Coupons,308,fail_road
81,2022-02-01,Cravins To Order,389,fail_road
82,2022-02-01,CTO Ing Shelf Stable,477,fail_road
83,2022-02-01,Fe Gift Cards Radiant,270,fail_road
84,2022-02-01,Floral,395,fail_road
85,2022-02-01,Fresh Bakery,298,fail_road
86,2022-02-01,Gen Merch Scan Data Sales,272,fail_road
87,2022-02-01,JW European Cafe,64,fail_road
88,2022-02-01,Lottery Instant Tickets,495,fail_road
89,2022-02-01,Lottery ITVM Instant Tickets,76,fail_road
90,2022-02-01,Lottery Online Sales,146,fail_road
91,2022-02-01,Manual Fuel Radiant,370,fail_road
92,2022-02-01,Money Orders Radiant,105,fail_road
93,2022-02-01,Money Transfers,186,fail_road
94,2022-02-01,No Scan Merch Radiant,221,fail_road
95,2022-02-01,Novelty,156,fail_road
96,2022-02-01,Phone Card Fee,493,fail_road
97,2022-02-01,Supplies-retail,361,fail_road
98,2022-03-01,Cigarettes,62,fail_road
99,2022-03-01,Other Tobacco,273,fail_road
100,2022-03-01,Beer,59,fail_road
101,2022-03-01,Wine,418,fail_road
102,2022-03-01,Packaged Beverages-nonalcoh,445,fail_road
103,2022-03-01,Candy,56,fail_road
104,2022-03-01,Fluid Milk Products,469,fail_road
105,2022-03-01,Other Dairy Deli,147,fail_road
106,2022-03-01,Pkg Sand Other Products,179,fail_road
107,2022-03-01,Packaged Ice Cream Novelty,237,fail_road
108,2022-03-01,Frozen Foods,462,fail_road
109,2022-03-01,Packaged Bread Comm Bakery,124,fail_road
110,2022-03-01,Salty Snacks,185,fail_road
111,2022-03-01,Packaged Sweet Snacks,382,fail_road
112,2022-03-01,Alternative Snacks,189,fail_road
113,2022-03-01,Fresh Foods - Perish Groc,92,fail_road
114,2022-03-01,Edible Grocery,64,fail_road
115,2022-03-01,Non-edible Grocery,82,fail_road
116,2022-03-01,Health And Beauty Care,287,fail_road
117,2022-03-01,General Merchandise,408,fail_road
118,2022-03-01,Publications,252,fail_road
119,2022-03-01,Automotive Products,125,fail_road
120,2022-03-01,Store Services Fee Income,183,fail_road
121,2022-03-01,Store Services Fee Inc Tax,192,fail_road
122,2022-03-01,Ice Bags,272,fail_road
123,2022-03-01,Hot Dispensed Beverages,322,fail_road
124,2022-03-01,Cold Dispensed Beverages,416,fail_road
125,2022-03-01,Frozen Dispensed Beverages,338,fail_road
126,2022-03-01,Car Wash Sls,72,fail_road
127,2022-03-01,Car Wash Vending Sales,88,fail_road
128,2022-03-01,Chilled Bev Fee,243,fail_road
129,2022-03-01,Coupons,241,fail_road
130,2022-03-01,Cravins To Order,346,fail_road
131,2022-03-01,CTO Ing Shelf Stable,305,fail_road
132,2022-03-01,Fe Gift Cards Radiant,317,fail_road
133,2022-03-01,Floral,396,fail_road
134,2022-03-01,Fresh Bakery,479,fail_road
135,2022-03-01,Gen Merch Scan Data Sales,210,fail_road
136,2022-03-01,JW European Cafe,145,fail_road
137,2022-03-01,Lottery Instant Tickets,206,fail_road
138,2022-03-01,Lottery ITVM Instant Tickets,273,fail_road
139,2022-03-01,Lottery Online Sales,359,fail_road
140,2022-03-01,Manual Fuel Radiant,131,fail_road
141,2022-03-01,Money Orders Radiant,104,fail_road
142,2022-03-01,Money Transfers,267,fail_road
143,2022-03-01,No Scan Merch Radiant,162,fail_road
144,2022-03-01,Novelty,293,fail_road
145,2022-03-01,Phone Card Fee,473,fail_road
146,2022-03-01,Supplies-retail,100,fail_road
147,2022-04-01,Cigarettes,372,fail_road
148,2022-04-01,Other Tobacco,331,fail_road
149,2022-04-01,Beer,499,fail_road
150,2022-04-01,Wine,259,fail_road
151,2022-04-01,Packaged Beverages-nonalcoh,231,fail_road
152,2022-04-01,Candy,142,fail_road
153,2022-04-01,Fluid Milk Products,99,fail_road
154,2022-04-01,Other Dairy Deli,330,fail_road
155,2022-04-01,Pkg Sand Other Products,189,fail_road
156,2022-04-01,Packaged Ice Cream Novelty,256,fail_road
157,2022-04-01,Frozen Foods,336,fail_road
158,2022-04-01,Packaged Bread Comm Bakery,444,fail_road
159,2022-04-01,Salty Snacks,396,fail_road
160,2022-04-01,Packaged Sweet Snacks,92,fail_road
161,2022-04-01,Alternative Snacks,123,fail_road
162,2022-04-01,Fresh Foods - Perish Groc,212,fail_road
163,2022-04-01,Edible Grocery,472,fail_road
164,2022-04-01,Non-edible Grocery,407,fail_road
165,2022-04-01,Health And Beauty Care,390,fail_road
166,2022-04-01,General Merchandise,454,fail_road
167,2022-04-01,Publications,193,fail_road
168,2022-04-01,Automotive Products,464,fail_road
169,2022-04-01,Store Services Fee Income,333,fail_road
170,2022-04-01,Store Services Fee Inc Tax,359,fail_road
171,2022-04-01,Ice Bags,290,fail_road
172,2022-04-01,Hot Dispensed Beverages,209,fail_road
173,2022-04-01,Cold Dispensed Beverages,322,fail_road
174,2022-04-01,Frozen Dispensed Beverages,67,fail_road
175,2022-04-01,Car Wash Sls,451,fail_road
176,2022-04-01,Car Wash Vending Sales,348,fail_road
177,2022-04-01,Chilled Bev Fee,228,fail_road
178,2022-04-01,Coupons,240,fail_road
179,2022-04-01,Cravins To Order,190,fail_road
180,2022-04-01,CTO Ing Shelf Stable,55,fail_road
181,2022-04-01,Fe Gift Cards Radiant,94,fail_road
182,2022-04-01,Floral,166,fail_road
