,Month,Product Category,Sales,Location
0,2022-01-01,Cigarettes,181,ameriplex
1,2022-01-01,Other Tobacco,477,ameriplex
2,2022-01-01,Beer,125,ameriplex
3,2022-01-01,Wine,256,ameriplex
4,2022-01-01,Packaged Beverages-nonalcoh,393,ameriplex
5,2022-01-01,Candy,394,ameriplex
6,2022-01-01,Fluid Milk Products,411,ameriplex
7,2022-01-01,Other Dairy Deli,298,ameriplex
8,2022-01-01,Pkg Sand Other Products,107,ameriplex
9,2022-01-01,Packaged Ice Cream Novelty,184,ameriplex
10,2022-01-01,Frozen Foods,456,ameriplex
11,2022-01-01,Packaged Bread Comm Bakery,476,ameriplex
12,2022-01-01,Salty Snacks,171,ameriplex
13,2022-01-01,Packaged Sweet Snacks,339,ameriplex
14,2022-01-01,Alternative Snacks,484,ameriplex
15,2022-01-01,Fresh Foods - Perish Groc,138,ameriplex
16,2022-01-01,Edible Grocery,277,ameriplex
17,2022-01-01,Non-edible Grocery,369,ameriplex
18,2022-01-01,Health And Beauty Care,414,ameriplex
19,2022-01-01,General Merchandise,334,ameriplex
20,2022-01-01,Publications,342,ameriplex
21,2022-01-01,Automotive Products,144,ameriplex
22,2022-01-01,Store Services Fee Income,170,ameriplex
23,2022-01-01,Store Services Fee Inc Tax,278,ameriplex
24,2022-01-01,Ice Bags,435,ameriplex
25,2022-01-01,Hot Dispensed Beverages,61,ameriplex
26,2022-01-01,Cold Dispensed Beverages,380,ameriplex
27,2022-01-01,Frozen Dispensed Beverages,107,ameriplex
28,2022-01-01,Car Wash Sls,307,ameriplex
29,2022-01-01,Car Wash Vending Sales,283,ameriplex
30,2022-01-01,Chilled Bev Fee,465,ameriplex
31,2022-01-01,Coupons,471,ameriplex
32,2022-01-01,Cravins To Order,197,ameriplex
33,2022-01-01,CTO Ing Shelf Stable,230,ameriplex
34,2022-01-01,Fe Gift Cards Radiant,82,ameriplex
35,2022-01-01,Floral,350,ameriplex
36,2022-01-01,Fresh Bakery,459,ameriplex
37,2022-01-01,Gen Merch Scan Data Sales,118,ameriplex
38,2022-01-01,JW European Cafe,287,ameriplex
39,2022-01-01,Lottery Instant Tickets,299,ameriplex
40,2022-01-01,Lottery ITVM Instant Tickets,144,ameriplex
41,2022-01-01,Lottery Online Sales,205,ameriplex
42,2022-01-01,Manual Fuel Radiant,90,ameriplex
43,2022-01-01,Money Orders Radiant,460,ameriplex
44,2022-01-01,Money Transfers,414,ameriplex
45,2022-01-01,No Scan Merch Radiant,120,ameriplex
46,2022-01-01,Novelty,180,ameriplex
47,2022-01-01,Phone Card Fee,78,ameriplex
48,2022-01-01,Supplies-retail,224,ameriplex
49,2022-02-01,Cigarettes,201,ameriplex
50,2022-02-01,Other Tobacco,280,ameriplex
51,2022-02-01,Beer,270,ameriplex
52,2022-02-01,Wine,462,ameriplex
53,2022-02-01,Packaged Beverages-nonalcoh,185,ameriplex
54,2022-02-01,Candy,491,ameriplex
55,2022-02-01,Fluid Milk Products,124,ameriplex
56,2022-02-01,Other Dairy Deli,61,ameriplex
57,2022-02-01,Pkg Sand Other Products,294,ameriplex
58,2022-02-01,Packaged Ice Cream Novelty,467,ameriplex
59,2022-02-01,Frozen Foods,346,ameriplex
60,2022-02-01,Packaged Bread Comm Bakery,344,ameriplex
61,2022-02-01,Salty Snacks,203,ameriplex
62,2022-02-01,Packaged Sweet Snacks,240,ameriplex
63,2022-02-01,Alternative Snacks,296,ameriplex
64,2022-02-01,Fresh Foods - Perish Groc,494,ameriplex
65,2022-02-01,Edible Grocery,445,ameriplex
66,2022-02-01,Non-edible Grocery,303,ameriplex
67,2022-02-01,Health And Beauty Care,425,ameriplex
68,2022-02-01,General Merchandise,321,ameriplex
69,2022-02-01,Publications,220,ameriplex
70,2022-02-01,Automotive Products,181,ameriplex
71,2022-02-01,Store Services Fee Income,60,ameriplex
72,2022-02-01,Store Services Fee Inc Tax,207,ameriplex
73,2022-02-01,Ice Bags,222,ameriplex
74,2022-02-01,Hot Dispensed Beverages,356,ameriplex
75,2022-02-01,Cold Dispensed Beverages,484,ameriplex
76,2022-02-01,Frozen Dispensed Beverages,274,ameriplex
77,2022-02-01,Car Wash Sls,489,ameriplex
78,2022-02-01,Car Wash Vending Sales,150,ameriplex
79,2022-02-01,Chilled Bev Fee,370,ameriplex
80,2022-02-01,Coupons,319,ameriplex
81,2022-02-01,Cravins To Order,243,ameriplex
82,2022-02-01,CTO Ing Shelf Stable,168,ameriplex
83,2022-02-01,Fe Gift Cards Radiant,394,ameriplex
84,2022-02-01,Floral,447,ameriplex
85,2022-02-01,Fresh Bakery,56,ameriplex
86,2022-02-01,Gen Merch Scan Data Sales,109,ameriplex
87,2022-02-01,JW European Cafe,157,ameriplex
88,2022-02-01,Lottery Instant Tickets,218,ameriplex
89,2022-02-01,Lottery ITVM Instant Tickets,201,ameriplex
90,2022-02-01,Lottery Online Sales,284,ameriplex
91,2022-02-01,Manual Fuel Radiant,114,ameriplex
92,2022-02-01,Money Orders Radiant,459,ameriplex
93,2022-02-01,Money Transfers,93,ameriplex
94,2022-02-01,No Scan Merch Radiant,72,ameriplex
95,2022-02-01,Novelty,357,ameriplex
96,2022-02-01,Phone Card Fee,306,ameriplex
97,2022-02-01,Supplies-retail,456,ameriplex
98,2022-03-01,Cigarettes,419,ameriplex
99,2022-03-01,Other Tobacco,437,ameriplex
100,2022-03-01,Beer,452,ameriplex
