Month,Product Category,Sales
2022-01,Cigarettes,181
2022-01,Other Tobacco,477
2022-01,Beer,125
2022-01,Wine,256
2022-01,Packaged Beverages-nonalcoh,393
2022-01,Candy,394
2022-01,Fluid Milk Products,411
2022-01,Other Dairy Deli,298
2022-01,Pkg Sand Other Products,107
2022-01,Packaged Ice Cream Novelty,184
2022-01,Frozen Foods,456
2022-01,Packaged Bread Comm Bakery,476
2022-01,Salty Snacks,171
2022-01,Packaged Sweet Snacks,339
2022-01,Alternative Snacks,484
2022-01,Fresh Foods - Perish Groc,138
2022-01,Edible Grocery,277
2022-01,Non-edible Grocery,369
2022-01,Health And Beauty Care,414
2022-01,General Merchandise,334
2022-01,Publications,342
2022-01,Automotive Products,144
2022-01,Store Services Fee Income,170
2022-01,Store Services Fee Inc Tax,278
2022-01,Ice Bags,435
2022-01,Hot Dispensed Beverages,61
2022-01,Cold Dispensed Beverages,380
2022-01,Frozen Dispensed Beverages,107
2022-01,Car Wash Sls,307
2022-01,Car Wash Vending Sales,283
2022-01,Chilled Bev Fee,465
2022-01,Coupons,471
2022-01,Cravins To Order,197
2022-01,CTO Ing Shelf Stable,230
2022-01,Fe Gift Cards Radiant,82
2022-01,Floral,350
2022-01,Fresh Bakery,459
2022-01,Gen Merch Scan Data Sales,118
2022-01,JW European Cafe,287
2022-01,Lottery Instant Tickets,299
2022-01,Lottery ITVM Instant Tickets,144
2022-01,Lottery Online Sales,205
2022-01,Manual Fuel Radiant,90
2022-01,Money Orders Radiant,460
2022-01,Money Transfers,414
2022-01,No Scan Merch Radiant,120
2022-01,Novelty,180
2022-01,Phone Card Fee,78
2022-01,Supplies-retail,224
2022-02,Cigarettes,201
2022-02,Other Tobacco,280
2022-02,Beer,270
2022-02,Wine,462
2022-02,Packaged Beverages-nonalcoh,185
2022-02,Candy,491
2022-02,Fluid Milk Products,124
2022-02,Other Dairy Deli,61
2022-02,Pkg Sand Other Products,294
2022-02,Packaged Ice Cream Novelty,467
2022-02,Frozen Foods,346
2022-02,Packaged Bread Comm Bakery,344
2022-02,Salty Snacks,203
2022-02,Packaged Sweet Snacks,240
2022-02,Alternative Snacks,296
2022-02,Fresh Foods - Perish Groc,494
2022-02,Edible Grocery,445
2022-02,Non-edible Grocery,303
2022-02,Health And Beauty Care,425
2022-02,General Merchandise,321
2022-02,Publications,220
2022-02,Automotive Products,181
2022-02,Store Services Fee Income,60
2022-02,Store Services Fee Inc Tax,207
