Month,Product Category,Sales
2022-01,Cigarettes,1016
2022-01,Other Tobacco,971
2022-01,Beer,1072
2022-01,Wine,806
2022-01,Packaged Beverages-nonalcoh,1230
2022-01,Candy,1191
2022-01,Fluid Milk Products,1468
2022-01,Other Dairy Deli,802
2022-01,Pkg Sand Other Products,1270
2022-01,Packaged Ice Cream Novelty,872
2022-01,Frozen Foods,1266
2022-01,Packaged Bread Comm Bakery,1436
2022-01,Salty Snacks,836
2022-01,Packaged Sweet Snacks,1053
2022-01,Alternative Snacks,1657
2022-01,Fresh Foods - Perish Groc,983
2022-01,Edible Grocery,1212
2022-01,Non-edible Grocery,850
2022-01,Health And Beauty Care,1461
2022-01,General Merchandise,1285
2022-01,Publications,769
2022-01,Automotive Products,962
2022-01,Store Services Fee Income,1128
2022-01,Store Services Fee Inc Tax,1238
2022-01,Ice Bags,1226
2022-01,Hot Dispensed Beverages,651
2022-01,Cold Dispensed Beverages,1202
2022-01,Frozen Dispensed Beverages,900
2022-01,Car Wash Sls,993
2022-01,Car Wash Vending Sales,519
2022-01,Chilled Bev Fee,1195
2022-01,Coupons,1249
2022-01,Cravins To Order,1547
2022-01,CTO Ing Shelf Stable,1235
2022-01,Fe Gift Cards Radiant,1005
2022-01,Floral,1484
2022-01,Fresh Bakery,1461
2022-01,Gen Merch Scan Data Sales,951
2022-01,JW European Cafe,1691
2022-01,Lottery Instant Tickets,1186
2022-01,Lottery ITVM Instant Tickets,1023
2022-01,Lottery Online Sales,881
2022-01,Manual Fuel Radiant,1222
2022-01,Money Orders Radiant,921
2022-01,Money Transfers,1041
2022-01,No Scan Merch Radiant,1494
2022-01,Novelty,974
2022-01,Phone Card Fee,805
2022-01,Supplies-retail,954
2022-02,Cigarettes,834
2022-02,Other Tobacco,1057
2022-02,Beer,791
2022-02,Wine,989
2022-02,Packaged Beverages-nonalcoh,1001
2022-02,Candy,1131
2022-02,Fluid Milk Products,874
2022-02,Other Dairy Deli,1077
2022-02,Pkg Sand Other Products,994
2022-02,Packaged Ice Cream Novelty,1197
2022-02,Frozen Foods,1464
2022-02,Packaged Bread Comm Bakery,1313
2022-02,Salty Snacks,1168
2022-02,Packaged Sweet Snacks,1307
2022-02,Alternative Snacks,1380
2022-02,Fresh Foods - Perish Groc,1744
2022-02,Edible Grocery,956
2022-02,Non-edible Grocery,1409
2022-02,Health And Beauty Care,977
2022-02,General Merchandise,786
2022-02,Publications,1022
2022-02,Automotive Products,807
2022-02,Store Services Fee Income,869
2022-02,Store Services Fee Inc Tax,987
2022-02,Ice Bags,1256
2022-02,Hot Dispensed Beverages,1225
2022-02,Cold Dispensed Beverages,1550
2022-02,Frozen Dispensed Beverages,1140
2022-02,Car Wash Sls,1741
2022-02,Car Wash Vending Sales,939
2022-02,Chilled Bev Fee,1008
2022-02,Coupons,838
2022-02,Cravins To Order,1178
2022-02,CTO Ing Shelf Stable,1227
2022-02,Fe Gift Cards Radiant,1230
2022-02,Floral,1485
2022-02,Fresh Bakery,1084
2022-02,Gen Merch Scan Data Sales,955
2022-02,JW European Cafe,871
2022-02,Lottery Instant Tickets,1550
2022-02,Lottery ITVM Instant Tickets,821
2022-02,Lottery Online Sales,869
2022-02,Manual Fuel Radiant,912
2022-02,Money Orders Radiant,869
2022-02,Money Transfers,598
2022-02,No Scan Merch Radiant,736
2022-02,Novelty,1409
2022-02,Phone Card Fee,1304
2022-02,Supplies-retail,1305
2022-03,Cigarettes,832
2022-03,Other Tobacco,1397
2022-03,Beer,1198
2022-03,Wine,761
2022-03,Packaged Beverages-nonalcoh,1379
2022-03,Candy,670
2022-03,Fluid Milk Products,1123
2022-03,Other Dairy Deli,960
2022-03,Pkg Sand Other Products,1221
2022-03,Packaged Ice Cream Novelty,1327
2022-03,Frozen Foods,1232
2022-03,Packaged Bread Comm Bakery,1224
2022-03,Salty Snacks,908
2022-03,Packaged Sweet Snacks,1033
2022-03,Alternative Snacks,1429
2022-03,Fresh Foods - Perish Groc,1127
2022-03,Edible Grocery,771
2022-03,Non-edible Grocery,896
2022-03,Health And Beauty Care,1674
2022-03,General Merchandise,1444
2022-03,Publications,1360
2022-03,Automotive Products,954
2022-03,Store Services Fee Income,1011
2022-03,Store Services Fee Inc Tax,947
2022-03,Ice Bags,1286
2022-03,Hot Dispensed Beverages,1073
2022-03,Cold Dispensed Beverages,1022
2022-03,Frozen Dispensed Beverages,1621
2022-03,Car Wash Sls,1122
2022-03,Car Wash Vending Sales,842
2022-03,Chilled Bev Fee,1010
2022-03,Coupons,878
2022-03,Cravins To Order,1428
2022-03,CTO Ing Shelf Stable,856
2022-03,Fe Gift Cards Radiant,601
2022-03,Floral,1452
2022-03,Fresh Bakery,1839
2022-03,Gen Merch Scan Data Sales,1133
2022-03,JW European Cafe,717
2022-03,Lottery Instant Tickets,1109
2022-03,Lottery ITVM Instant Tickets,1108
2022-03,Lottery Online Sales,796
2022-03,Manual Fuel Radiant,1109
2022-03,Money Orders Radiant,680
2022-03,Money Transfers,1401
2022-03,No Scan Merch Radiant,1247
2022-03,Novelty,669
2022-03,Phone Card Fee,1116
2022-03,Supplies-retail,951
2022-04,Cigarettes,1111
2022-04,Other Tobacco,1021
2022-04,Beer,1068
2022-04,Wine,1199
2022-04,Packaged Beverages-nonalcoh,850
2022-04,Candy,883
2022-04,Fluid Milk Products,951
2022-04,Other Dairy Deli,580
2022-04,Pkg Sand Other Products,1065
2022-04,Packaged Ice Cream Novelty,658
2022-04,Frozen Foods,1426
2022-04,Packaged Bread Comm Bakery,1300
2022-04,Salty Snacks,1411
2022-04,Packaged Sweet Snacks,974
2022-04,Alternative Snacks,1405
2022-04,Fresh Foods - Perish Groc,785
2022-04,Edible Grocery,1143
2022-04,Non-edible Grocery,1264
2022-04,Health And Beauty Care,1448
2022-04,General Merchandise,1245
2022-04,Publications,1406
2022-04,Automotive Products,930
2022-04,Store Services Fee Income,1141
2022-04,Store Services Fee Inc Tax,1382
2022-04,Ice Bags,933
2022-04,Hot Dispensed Beverages,1347
2022-04,Cold Dispensed Beverages,849
2022-04,Frozen Dispensed Beverages,869
2022-04,Car Wash Sls,1319
2022-04,Car Wash Vending Sales,1317
2022-04,Chilled Bev Fee,709
2022-04,Coupons,543
2022-04,Cravins To Order,1332
2022-04,CTO Ing Shelf Stable,1037
