Month,Product Category,Sales
2022-01,Cigarettes,269
2022-01,Other Tobacco,129
2022-01,Beer,209
2022-01,Wine,369
2022-01,Packaged Beverages-nonalcoh,256
2022-01,Candy,395
2022-01,Fluid Milk Products,388
2022-01,Other Dairy Deli,244
2022-01,Pkg Sand Other Products,486
2022-01,Packaged Ice Cream Novelty,337
2022-01,Frozen Foods,196
2022-01,Packaged Bread Comm Bakery,220
2022-01,Salty Snacks,137
2022-01,Packaged Sweet Snacks,270
2022-01,Alternative Snacks,465
2022-01,Fresh Foods - Perish Groc,54
2022-01,Edible Grocery,249
2022-01,Non-edible Grocery,155
2022-01,Health And Beauty Care,380
2022-01,General Merchandise,475
2022-01,Publications,88
2022-01,Automotive Products,177
2022-01,Store Services Fee Income,446
2022-01,Store Services Fee Inc Tax,416
2022-01,Ice Bags,90
2022-01,Hot Dispensed Beverages,306
2022-01,Cold Dispensed Beverages,284
2022-01,Frozen Dispensed Beverages,202
2022-01,Car Wash Sls,196
2022-01,Car Wash Vending Sales,81
2022-01,Chilled Bev Fee,60
2022-01,Coupons,144
2022-01,Cravins To Order,482
2022-01,CTO Ing Shelf Stable,340
2022-01,Fe Gift Cards Radiant,159
2022-01,Floral,269
2022-01,Fresh Bakery,282
2022-01,Gen Merch Scan Data Sales,354
2022-01,JW European Cafe,451
2022-01,Lottery Instant Tickets,266
2022-01,Lottery ITVM Instant Tickets,469
2022-01,Lottery Online Sales,112
2022-01,Manual Fuel Radiant,201
2022-01,Money Orders Radiant,81
2022-01,Money Transfers,141
2022-01,No Scan Merch Radiant,491
2022-01,Novelty,70
2022-01,Phone Card Fee,152
2022-01,Supplies-retail,182
2022-02,Cigarettes,151
2022-02,Other Tobacco,165
2022-02,Beer,146
2022-02,Wine,132
2022-02,Packaged Beverages-nonalcoh,314
2022-02,Candy,199
2022-02,Fluid Milk Products,156
2022-02,Other Dairy Deli,440
2022-02,Pkg Sand Other Products,132
2022-02,Packaged Ice Cream Novelty,123
2022-02,Frozen Foods,483
2022-02,Packaged Bread Comm Bakery,125
2022-02,Salty Snacks,110
2022-02,Packaged Sweet Snacks,302
2022-02,Alternative Snacks,487
2022-02,Fresh Foods - Perish Groc,413
2022-02,Edible Grocery,51
2022-02,Non-edible Grocery,336
