Month,Product Category,Sales
2022-01,Cigarettes,144
2022-01,Other Tobacco,84
2022-01,Beer,351
2022-01,Wine,87
2022-01,Packaged Beverages-nonalcoh,357
2022-01,Candy,294
2022-01,Fluid Milk Products,410
2022-01,Other Dairy Deli,88
2022-01,Pkg Sand Other Products,376
2022-01,Packaged Ice Cream Novelty,138
2022-01,Frozen Foods,156
2022-01,Packaged Bread Comm Bakery,298
2022-01,Salty Snacks,376
2022-01,Packaged Sweet Snacks,215
2022-01,Alternative Snacks,297
2022-01,Fresh Foods - Perish Groc,332
2022-01,Edible Grocery,401
2022-01,Non-edible Grocery,63
2022-01,Health And Beauty Care,439
2022-01,General Merchandise,355
2022-01,Publications,169
2022-01,Automotive Products,437
2022-01,Store Services Fee Income,98
2022-01,Store Services Fee Inc Tax,121
2022-01,Ice Bags,228
2022-01,Hot Dispensed Beverages,216
2022-01,Cold Dispensed Beverages,97
2022-01,Frozen Dispensed Beverages,351
2022-01,Car Wash Sls,335
2022-01,Car Wash Vending Sales,101
2022-01,Chilled Bev Fee,183
2022-01,Coupons,416
2022-01,Cravins To Order,391
2022-01,CTO Ing Shelf Stable,326
2022-01,Fe Gift Cards Radiant,466
2022-01,Floral,483
2022-01,Fresh Bakery,387
2022-01,Gen Merch Scan Data Sales,267
2022-01,JW European Cafe,461
2022-01,Lottery Instant Tickets,447
2022-01,Lottery ITVM Instant Tickets,360
2022-01,Lottery Online Sales,242
2022-01,Manual Fuel Radiant,474
2022-01,Money Orders Radiant,327
2022-01,Money Transfers,250
2022-01,No Scan Merch Radiant,448
2022-01,Novelty,287
2022-01,Phone Card Fee,118
2022-01,Supplies-retail,157
2022-02,Cigarettes,114
2022-02,Other Tobacco,367
2022-02,Beer,231
2022-02,Wine,61
2022-02,Packaged Beverages-nonalcoh,172
2022-02,Candy,374
2022-02,Fluid Milk Products,227
2022-02,Other Dairy Deli,450
2022-02,Pkg Sand Other Products,91
2022-02,Packaged Ice Cream Novelty,300
2022-02,Frozen Foods,369
2022-02,Packaged Bread Comm Bakery,383
2022-02,Salty Snacks,422
2022-02,Packaged Sweet Snacks,460
2022-02,Alternative Snacks,357
2022-02,Fresh Foods - Perish Groc,400
2022-02,Edible Grocery,301
2022-02,Non-edible Grocery,483
2022-02,Health And Beauty Care,428
2022-02,General Merchandise,212
2022-02,Publications,216
2022-02,Automotive Products,146
2022-02,Store Services Fee Income,238
2022-02,Store Services Fee Inc Tax,182
2022-02,Ice Bags,253
2022-02,Hot Dispensed Beverages,445
2022-02,Cold Dispensed Beverages,226
2022-02,Frozen Dispensed Beverages,456
2022-02,Car Wash Sls,457
2022-02,Car Wash Vending Sales,345
2022-02,Chilled Bev Fee,104
2022-02,Coupons,66
2022-02,Cravins To Order,327
