,Month,Product Category,Sales,Location
0,2022-01-01,Cigarettes,422,winona
1,2022-01-01,Other Tobacco,281,winona
2,2022-01-01,Beer,387,winona
3,2022-01-01,Wine,94,winona
4,2022-01-01,Packaged Beverages-nonalcoh,224,winona
5,2022-01-01,Candy,108,winona
6,2022-01-01,Fluid Milk Products,259,winona
7,2022-01-01,Other Dairy Deli,172,winona
8,2022-01-01,Pkg Sand Other Products,301,winona
9,2022-01-01,Packaged Ice Cream Novelty,213,winona
10,2022-01-01,Frozen Foods,458,winona
11,2022-01-01,Packaged Bread Comm Bakery,442,winona
12,2022-01-01,Salty Snacks,152,winona
13,2022-01-01,Packaged Sweet Snacks,229,winona
14,2022-01-01,Alternative Snacks,411,winona
15,2022-01-01,Fresh Foods - Perish Groc,459,winona
16,2022-01-01,Edible Grocery,285,winona
17,2022-01-01,Non-edible Grocery,263,winona
18,2022-01-01,Health And Beauty Care,228,winona
19,2022-01-01,General Merchandise,121,winona
20,2022-01-01,Publications,170,winona
21,2022-01-01,Automotive Products,204,winona
22,2022-01-01,Store Services Fee Income,414,winona
23,2022-01-01,Store Services Fee Inc Tax,423,winona
24,2022-01-01,Ice Bags,473,winona
25,2022-01-01,Hot Dispensed Beverages,68,winona
26,2022-01-01,Cold Dispensed Beverages,441,winona
27,2022-01-01,Frozen Dispensed Beverages,240,winona
28,2022-01-01,Car Wash Sls,155,winona
29,2022-01-01,Car Wash Vending Sales,54,winona
30,2022-01-01,Chilled Bev Fee,487,winona
31,2022-01-01,Coupons,218,winona
32,2022-01-01,Cravins To Order,477,winona
33,2022-01-01,CTO Ing Shelf Stable,339,winona
34,2022-01-01,Fe Gift Cards Radiant,298,winona
35,2022-01-01,Floral,382,winona
36,2022-01-01,Fresh Bakery,333,winona
37,2022-01-01,Gen Merch Scan Data Sales,212,winona
38,2022-01-01,JW European Cafe,492,winona
39,2022-01-01,Lottery Instant Tickets,174,winona
40,2022-01-01,Lottery ITVM Instant Tickets,50,winona
41,2022-01-01,Lottery Online Sales,322,winona
42,2022-01-01,Manual Fuel Radiant,457,winona
43,2022-01-01,Money Orders Radiant,53,winona
44,2022-01-01,Money Transfers,236,winona
45,2022-01-01,No Scan Merch Radiant,435,winona
46,2022-01-01,Novelty,437,winona
47,2022-01-01,Phone Card Fee,457,winona
48,2022-01-01,Supplies-retail,391,winona
49,2022-02-01,Cigarettes,368,winona
50,2022-02-01,Other Tobacco,245,winona
51,2022-02-01,Beer,144,winona
52,2022-02-01,Wine,334,winona
53,2022-02-01,Packaged Beverages-nonalcoh,330,winona
54,2022-02-01,Candy,67,winona
55,2022-02-01,Fluid Milk Products,367,winona
56,2022-02-01,Other Dairy Deli,126,winona
57,2022-02-01,Pkg Sand Other Products,477,winona
58,2022-02-01,Packaged Ice Cream Novelty,307,winona
59,2022-02-01,Frozen Foods,266,winona
60,2022-02-01,Packaged Bread Comm Bakery,461,winona
61,2022-02-01,Salty Snacks,433,winona
62,2022-02-01,Packaged Sweet Snacks,305,winona
63,2022-02-01,Alternative Snacks,240,winona
64,2022-02-01,Fresh Foods - Perish Groc,437,winona
65,2022-02-01,Edible Grocery,159,winona
66,2022-02-01,Non-edible Grocery,287,winona
67,2022-02-01,Health And Beauty Care,58,winona
68,2022-02-01,General Merchandise,62,winona
69,2022-02-01,Publications,366,winona
70,2022-02-01,Automotive Products,167,winona
71,2022-02-01,Store Services Fee Income,464,winona
72,2022-02-01,Store Services Fee Inc Tax,304,winona
73,2022-02-01,Ice Bags,475,winona
74,2022-02-01,Hot Dispensed Beverages,241,winona
75,2022-02-01,Cold Dispensed Beverages,435,winona
76,2022-02-01,Frozen Dispensed Beverages,344,winona
77,2022-02-01,Car Wash Sls,313,winona
78,2022-02-01,Car Wash Vending Sales,160,winona
79,2022-02-01,Chilled Bev Fee,405,winona
80,2022-02-01,Coupons,145,winona
81,2022-02-01,Cravins To Order,219,winona
82,2022-02-01,CTO Ing Shelf Stable,271,winona
83,2022-02-01,Fe Gift Cards Radiant,416,winona
84,2022-02-01,Floral,151,winona
85,2022-02-01,Fresh Bakery,473,winona
86,2022-02-01,Gen Merch Scan Data Sales,444,winona
87,2022-02-01,JW European Cafe,217,winona
88,2022-02-01,Lottery Instant Tickets,498,winona
89,2022-02-01,Lottery ITVM Instant Tickets,472,winona
90,2022-02-01,Lottery Online Sales,129,winona
91,2022-02-01,Manual Fuel Radiant,52,winona
92,2022-02-01,Money Orders Radiant,65,winona
93,2022-02-01,Money Transfers,268,winona
94,2022-02-01,No Scan Merch Radiant,252,winona
95,2022-02-01,Novelty,425,winona
96,2022-02-01,Phone Card Fee,147,winona
97,2022-02-01,Supplies-retail,308,winona
98,2022-03-01,Cigarettes,198,winona
99,2022-03-01,Other Tobacco,277,winona
100,2022-03-01,Beer,304,winona
101,2022-03-01,Wine,67,winona
102,2022-03-01,Packaged Beverages-nonalcoh,337,winona
103,2022-03-01,Candy,374,winona
104,2022-03-01,Fluid Milk Products,270,winona
105,2022-03-01,Other Dairy Deli,233,winona
106,2022-03-01,Pkg Sand Other Products,115,winona
107,2022-03-01,Packaged Ice Cream Novelty,353,winona
108,2022-03-01,Frozen Foods,220,winona
109,2022-03-01,Packaged Bread Comm Bakery,203,winona
110,2022-03-01,Salty Snacks,342,winona
111,2022-03-01,Packaged Sweet Snacks,115,winona
112,2022-03-01,Alternative Snacks,374,winona
113,2022-03-01,Fresh Foods - Perish Groc,441,winona
114,2022-03-01,Edible Grocery,192,winona
115,2022-03-01,Non-edible Grocery,368,winona
116,2022-03-01,Health And Beauty Care,456,winona
117,2022-03-01,General Merchandise,485,winona
118,2022-03-01,Publications,314,winona
119,2022-03-01,Automotive Products,62,winona
120,2022-03-01,Store Services Fee Income,387,winona
121,2022-03-01,Store Services Fee Inc Tax,140,winona
